match,value
https://www.flashscore.sk/zapas/W0ChVv5j/#/porovnanie-kurzov/home-away/zakladny-cas,1.02
https://www.flashscore.sk/zapas/G0fqdXCa/#/porovnanie-kurzov/home-away/zakladny-cas,1.85
https://www.flashscore.sk/zapas/WIq8xfCE/#/porovnanie-kurzov/home-away/zakladny-cas,3.22
https://www.flashscore.sk/zapas/CWPoknEA/#/porovnanie-kurzov/home-away/zakladny-cas,6.64
https://www.flashscore.sk/zapas/fgYIQBVh/#/porovnanie-kurzov/home-away/zakladny-cas,5.11
https://www.flashscore.sk/zapas/Iu11GAHc/#/porovnanie-kurzov/home-away/zakladny-cas,1.32
https://www.flashscore.sk/zapas/QeFDAvOc/#/porovnanie-kurzov/,1.66
https://www.flashscore.sk/zapas/CGmve0ok/#/porovnanie-kurzov/home-away/zakladny-cas,1.39
https://www.flashscore.sk/zapas/6kmdgVdI/#/porovnanie-kurzov/home-away/zakladny-cas,1.25
https://www.flashscore.sk/zapas/6kmdgVdI/#/porovnanie-kurzov/home-away/zakladny-cas,2.34
https://www.flashscore.sk/zapas/GOA7IRjc/#/porovnanie-kurzov/home-away/zakladny-cas,3.86
https://www.flashscore.sk/zapas/0xUYGs88/#/porovnanie-kurzov/home-away/zakladny-cas,1.07
https://www.flashscore.sk/zapas/02TYqfx7/#/porovnanie-kurzov/home-away/zakladny-cas,10.9
https://www.flashscore.sk/zapas/0xUYGs88/#/porovnanie-kurzov/home-away/zakladny-cas,2.75
https://www.flashscore.sk/zapas/88KOBqmp/#/porovnanie-kurzov/home-away/zakladny-cas,3.42
https://www.flashscore.sk/zapas/n1j8s1G8/#/porovnanie-kurzov/home-away/zakladny-cas,3.88
https://www.flashscore.sk/zapas/UVt7dtud/#/porovnanie-kurzov/home-away/zakladny-cas,3.3
https://www.flashscore.sk/zapas/88j00FMm/#/porovnanie-kurzov/home-away/zakladny-cas,3.57
https://www.flashscore.sk/zapas/88j00FMm/#/porovnanie-kurzov/home-away/zakladny-cas,5.63
https://www.flashscore.sk/zapas/WAe7KJJH/#/porovnanie-kurzov/home-away/zakladny-cas,3.95
https://www.flashscore.sk/zapas/xfJ8aKJ3/#/porovnanie-kurzov/home-away/zakladny-cas,6.77
https://www.flashscore.sk/zapas/ATtq5b98/#/porovnanie-kurzov/home-away/zakladny-cas,1.12
https://www.flashscore.sk/zapas/WELE9Def/#/porovnanie-kurzov/home-away/zakladny-cas,1.5
https://www.flashscore.sk/zapas/K4mzwIEm/#/porovnanie-kurzov/home-away/zakladny-cas,2.38
