match,value
https://www.flashscore.sk/zapas/08pcuYQq/#/porovnanie-kurzov/,1.76
https://www.flashscore.sk/zapas/O8OqhWoE/#/porovnanie-kurzov/,1.29
https://www.flashscore.sk/zapas/8A5InGY9/#/porovnanie-kurzov/,2.32
https://www.flashscore.sk/zapas/EDVy291e/#/porovnanie-kurzov/,1.87
https://www.flashscore.sk/zapas/YPK8bZ54/#/porovnanie-kurzov/,1.84
https://www.flashscore.sk/zapas/KIhfRcaA/#/porovnanie-kurzov/,1.1
https://www.flashscore.sk/zapas/KpD1yAhE/#/porovnanie-kurzov/,1.05
https://www.flashscore.sk/zapas/KpD1yAhE/#/porovnanie-kurzov/,1.54
https://www.flashscore.sk/zapas/GjaLQQMT/#/porovnanie-kurzov/,1.01
https://www.flashscore.sk/zapas/l8y1n9go/#/porovnanie-kurzov/,6.69
https://www.flashscore.sk/zapas/WW0ofLCi/#/porovnanie-kurzov/,3.66
https://www.flashscore.sk/zapas/GC6AZmNQ/#/porovnanie-kurzov/,1.68
https://www.flashscore.sk/zapas/hA9W79bk/#/porovnanie-kurzov/,2.02
https://www.flashscore.sk/zapas/A9fDnitO/#/porovnanie-kurzov/,1.75
https://www.flashscore.sk/zapas/nX8z7TDe/#/porovnanie-kurzov/,2.05
https://www.flashscore.sk/zapas/fRqcQqpD/#/porovnanie-kurzov/,1.65
https://www.flashscore.sk/zapas/YHr1P3aJ/#/porovnanie-kurzov/,3.08
https://www.flashscore.sk/zapas/A9fDnitO/#/porovnanie-kurzov/,4.18
https://www.flashscore.sk/zapas/A9fDnitO/#/porovnanie-kurzov/,6.07
https://www.flashscore.sk/zapas/Ec3YRUkL/#/porovnanie-kurzov/,1.49
https://www.flashscore.sk/zapas/Ec3YRUkL/#/porovnanie-kurzov/,2.59
https://www.flashscore.sk/zapas/vTAEL9nk/#/porovnanie-kurzov/,1.52
https://www.flashscore.sk/zapas/pGdBTYqM/#/porovnanie-kurzov/,4.7
https://www.flashscore.sk/zapas/Ysp5M8Dr/#/porovnanie-kurzov/,3.37
https://www.flashscore.sk/zapas/lleYNBuC/#/porovnanie-kurzov/,3.23
https://www.flashscore.sk/zapas/40gMQDeg/#/porovnanie-kurzov/,2.03
https://www.flashscore.sk/zapas/rihQPXAa/#/porovnanie-kurzov/,1.68
https://www.flashscore.sk/zapas/ETJETlVb/#/porovnanie-kurzov/,7.26
https://www.flashscore.sk/zapas/ryE4f4j7/#/porovnanie-kurzov/,1.82
https://www.flashscore.sk/zapas/rFh5mhWS/#/porovnanie-kurzov/,1.29
https://www.flashscore.sk/zapas/YFgoyJRc/#/porovnanie-kurzov/,1.52
https://www.flashscore.sk/zapas/Qkjwwuco/#/porovnanie-kurzov/,3.86
